,id,time,CurX,CurY,CurV,CurRoll,CurPitch,CurAccX,CurAccY,CurAccZ,CurGyroX,CurGyroY,CurGyroZ,Pitch,Roll,abnormal_label
0,1,2023-11-8 13:03,17.1839,1.82013,-0.053328,0.743168,-2.13162,-0.012084,-0.009521,1.00085,0.267036,0.411999,0.19074,-2.13162,0.743168,0
1,2,2023-11-8 13:03,17.1833,1.82013,-0.054977,0.742246,-2.10043,-0.015014,-0.011718,0.997558,0.213629,0.411999,0.267036,-2.10043,0.742246,0
2,3,2023-11-8 13:03,17.1827,1.82013,-0.055527,0.744825,-2.07221,-0.014648,-0.013549,0.995727,0.236518,0.419629,0.251777,-2.07221,0.744825,0
3,4,2023-11-8 13:03,17.1769,1.82013,-0.056077,0.746934,-2.04569,-0.011352,-0.012084,0.997192,0.335703,0.419629,0.175481,-2.04569,0.746934,0
4,5,2023-11-8 13:03,17.1763,1.82013,-0.056627,0.745299,-2.01753,-0.008056,-0.01538,0.999755,0.381481,0.434888,0.061037,-2.01753,0.745299,0
5,6,2023-11-8 13:03,17.1758,1.82013,-0.056627,0.739771,-1.99423,-0.013183,-0.020141,0.996093,0.328073,0.427259,-0.053407,-1.99423,0.739771,0
6,7,2023-11-8 13:03,17.1752,1.82013,-0.056627,0.740183,-1.97778,-0.014648,-0.022338,0.995361,0.244148,0.419629,-0.129703,-1.97778,0.740183,0
7,8,2023-11-8 13:03,17.1746,1.82013,-0.056077,0.742209,-1.96422,-0.013183,-0.021972,0.997558,0.244148,0.411999,-0.122074,-1.96422,0.742209,0
8,9,2023-11-8 13:03,17.1741,1.82013,-0.055527,0.742505,-1.94953,-0.017578,-0.023071,1.00049,0.335703,0.411999,-0.030518,-1.94953,0.742505,0
9,10,2023-11-8 13:03,17.1735,1.82013,-0.054977,0.747901,-1.93552,-0.013183,-0.026367,0.997192,0.411999,0.419629,0.091555,-1.93552,0.747901,0
10,11,2023-11-8 13:03,17.173,1.82013,-0.052778,0.748239,-1.92563,-0.015747,-0.032592,0.992797,0.411999,0.419629,0.183111,-1.92563,0.748239,0
11,12,2023-11-8 13:03,17.1725,1.82013,-0.051129,0.751757,-1.92402,-0.014282,-0.038818,0.99353,0.335703,0.434888,0.205999,-1.92402,0.751757,0
12,13,2023-11-8 13:03,17.172,1.82013,-0.050029,0.753258,-1.9299,-0.007324,-0.039184,1.00122,0.305185,0.411999,0.152592,-1.9299,0.753258,0
13,14,2023-11-8 13:03,17.1715,1.82013,-0.046731,0.746379,-1.93531,-0.008056,-0.043579,1.00378,0.350962,0.38911,0.068666,-1.93531,0.746379,0
14,15,2023-11-8 13:03,17.1711,1.82013,-0.044532,0.740114,-1.94497,-0.009521,-0.045776,0.996093,0.40437,0.358592,-0.015259,-1.94497,0.740114,0
15,16,2023-11-8 13:03,17.1706,1.82013,-0.042882,0.73555,-1.95711,-0.01831,-0.047241,0.990966,0.427259,0.343333,-0.076296,-1.95711,0.73555,0
16,17,2023-11-8 13:03,17.1703,1.82013,-0.037384,0.7412,-1.97097,-0.019409,-0.046142,0.99353,0.427259,0.335703,-0.106814,-1.97097,0.7412,0
17,18,2023-11-8 13:03,17.1699,1.82013,-0.034636,0.748175,-1.98337,-0.01538,-0.046142,0.999755,0.40437,0.358592,-0.106814,-1.98337,0.748175,0
18,19,2023-11-8 13:03,17.1696,1.82013,-0.031887,0.750667,-1.99518,-0.011352,-0.045776,1.00195,0.40437,0.39674,-0.038148,-1.99518,0.750667,0
19,20,2023-11-8 13:03,17.1693,1.82013,-0.026939,0.748815,-2.00645,-0.00769,-0.04541,1.00268,0.381481,0.427259,0.061037,-2.00645,0.748815,0
20,21,2023-11-8 13:03,17.1691,1.82013,-0.02474,0.742847,-2.01719,-0.009155,-0.045776,0.992431,0.366222,0.427259,0.152592,-2.01719,0.742847,0
21,22,2023-11-8 13:03,17.1689,1.82013,-0.02254,0.738562,-2.02889,-0.012451,-0.040649,0.9906,0.343333,0.40437,0.183111,-2.02889,0.738562,0
22,23,2023-11-8 13:03,17.1687,1.82013,-0.018142,0.738022,-2.03439,-0.017944,-0.037353,0.996459,0.358592,0.38911,0.144962,-2.03439,0.738022,0
23,24,2023-11-8 13:03,17.1685,1.82013,-0.015943,0.743691,-2.03535,-0.018676,-0.033691,1.00598,0.39674,0.38911,0.061037,-2.03535,0.743691,0
24,25,2023-11-8 13:03,17.1684,1.82013,-0.013744,0.749855,-2.03149,-0.016845,-0.02893,1.00525,0.419629,0.38911,-0.022888,-2.03149,0.749855,0
25,26,2023-11-8 13:03,17.1683,1.82013,-0.009896,0.753877,-2.02255,-0.017211,-0.022338,0.992431,0.39674,0.39674,-0.091555,-2.02255,0.753877,0
26,27,2023-11-8 13:03,17.1682,1.82013,-0.008246,0.758486,-2.00699,-0.009887,-0.014282,0.988769,0.358592,0.39674,-0.106814,-2.00699,0.758486,0
