region_name,x,y,label,time,Layers,status
Default,10,1,0,2023-11-08 13:04:00,1,0
Default,10,2,0,2023-11-08 13:04:00,1,0
Default,10,3,2,2023-11-08 13:04:00,1,1
Default,10,4,0,2023-11-08 13:04:00,1,0
Default,10,5,0,2023-11-08 13:04:00,1,0
Default,11,1,0,2023-11-08 13:04:00,1,0
Default,11,5,0,2023-11-08 13:05:00,1,0
Default,12,1,0,2023-11-08 13:04:00,1,0
Default,12,5,2,2023-11-08 13:05:00,1,1
Default,13,1,0,2023-11-08 13:04:00,1,0
Default,13,5,0,2023-11-08 13:05:00,1,0
Default,14,1,0,2023-11-08 13:04:00,1,0
Default,14,5,0,2023-11-08 13:05:00,1,0
Default,15,1,0,2023-11-08 13:04:00,1,0
Default,15,5,2,2023-11-08 13:05:00,1,1
Default,16,1,0,2023-11-08 13:04:00,1,0
Default,16,5,0,2023-11-08 13:05:00,1,0
Default,17,1,0,2023-11-08 13:03:00,1,0
Default,17,2,2,2023-11-08 13:04:00,1,1
Default,17,3,0,2023-11-08 13:04:00,1,0
Default,17,4,0,2023-11-08 13:04:00,1,0
Default,17,5,0,2023-11-08 13:04:00,1,0
Default,10,1,0,2023-11-08 13:12:00,2,0
Default,10,2,0,2023-11-08 13:12:00,2,0
Default,10,3,2,2023-11-08 13:12:00,2,1
Default,10,4,2,2023-11-08 13:12:00,2,1
Default,10,5,0,2023-11-08 13:12:00,2,0
Default,11,1,0,2023-11-08 13:12:00,2,0
Default,11,5,0,2023-11-08 13:12:00,2,0
Default,12,1,0,2023-11-08 13:12:00,2,0
Default,12,5,2,2023-11-08 13:12:00,2,1
Default,13,1,0,2023-11-08 13:12:00,2,0
Default,13,5,0,2023-11-08 13:12:00,2,0
Default,14,1,0,2023-11-08 13:12:00,2,0
Default,14,5,2,2023-11-08 13:12:00,2,1
Default,15,1,0,2023-11-08 13:12:00,2,0
Default,15,5,0,2023-11-08 13:12:00,2,0
Default,16,1,2,2023-11-08 13:12:00,2,1
Default,16,5,0,2023-11-08 13:12:00,2,0
Default,17,1,0,2023-11-08 13:12:00,2,0
Default,17,2,0,2023-11-08 13:12:00,2,0
Default,17,3,0,2023-11-08 13:12:00,2,0
Default,17,4,2,2023-11-08 13:12:00,2,1
Default,17,5,0,2023-11-08 13:12:00,2,0
Default,10,1,0,2023-11-08 13:22:00,3,0
Default,10,2,0,2023-11-08 13:21:00,3,0
Default,10,3,0,2023-11-08 13:21:00,3,0
Default,10,4,0,2023-11-08 13:21:00,3,0
Default,10,5,0,2023-11-08 13:21:00,3,0
Default,11,1,2,2023-11-08 13:22:00,3,1
Default,11,5,2,2023-11-08 13:21:00,3,1
Default,12,1,0,2023-11-08 13:22:00,3,0
Default,12,5,0,2023-11-08 13:22:00,3,0
Default,13,1,0,2023-11-08 13:22:00,3,0
Default,13,5,2,2023-11-08 13:22:00,3,1
Default,14,1,2,2023-11-08 13:22:00,3,1
Default,14,5,0,2023-11-08 13:22:00,3,0
Default,15,1,0,2023-11-08 13:22:00,3,0
Default,15,5,0,2023-11-08 13:22:00,3,0
Default,16,1,2,2023-11-08 13:22:00,3,1
Default,16,5,2,2023-11-08 13:22:00,3,1
Default,17,1,0,2023-11-08 13:22:00,3,0
Default,17,2,0,2023-11-08 13:22:00,3,0
Default,17,3,2,2023-11-08 13:22:00,3,1
Default,17,4,0,2023-11-08 13:22:00,3,0
Default,17,5,0,2023-11-08 13:22:00,3,0
